customer_id,campaign_id,channel,acquisition_date,first_purchase_value,email,city,age_group,is_repeat_customer,total_lifetime_value,total_orders
CUST_000001,CAMP_1000,Meta Stories,2024-10-14,743.07,rattancaleb@example.com,Chennai,25-34,True,743.07,1
CUST_000002,CAMP_1000,Meta Stories,2024-10-14,1374.71,madhavi81@example.com,Pune,25-34,True,1374.71,1
CUST_000003,CAMP_1000,Meta Stories,2024-10-15,6040.65,amaramitter@example.net,Mumbai,25-34,False,6040.65,1
CUST_000004,CAMP_1000,Meta Stories,2024-10-16,7665.05,christophernadig@example.org,Pune,25-34,False,7665.05,1
CUST_000005,CAMP_1000,Meta Stories,2024-10-17,5492.03,tellanathaniel@example.org,Bangalore,25-34,False,5492.03,1
CUST_000006,CAMP_1000,Meta Stories,2024-10-24,7668.97,gbal@example.net,Delhi,25-34,False,7668.97,1
CUST_000007,CAMP_1000,Meta Stories,2024-10-24,4608.28,meghavora@example.com,Bangalore,25-34,False,4608.28,1
CUST_000008,CAMP_1000,Meta Stories,2024-11-26,7512.1,jackpillay@example.com,Delhi,25-34,False,7512.1,1
CUST_000009,CAMP_1000,Meta Stories,2024-11-28,510.66,omani@example.org,Ahmedabad,25-34,False,510.66,1
CUST_000010,CAMP_1001,Meta Feed,2024-06-27,4023.52,bhatiarachana@example.org,Kolkata,45-54,False,4023.52,1
CUST_000011,CAMP_1001,Meta Feed,2024-06-27,4946.09,zandra@example.org,Pune,45-54,False,4946.09,1
CUST_000012,CAMP_1001,Meta Feed,2024-06-28,6530.01,noah62@example.net,Pune,45-54,True,6530.01,1
CUST_000013,CAMP_1001,Meta Feed,2024-06-29,6368.06,yashica42@example.com,Kolkata,45-54,False,6368.06,1
CUST_000014,CAMP_1001,Meta Feed,2024-07-02,2854.06,tellajason@example.net,Delhi,45-54,False,2854.06,1
CUST_000015,CAMP_1001,Meta Feed,2024-07-05,1311.45,libni73@example.net,Ahmedabad,45-54,False,1311.45,1
CUST_000016,CAMP_1001,Meta Feed,2024-07-08,7992.53,amblejalsa@example.org,Bangalore,45-54,False,7992.53,1
CUST_000017,CAMP_1001,Meta Feed,2024-07-10,4792.69,chanaqarin@example.com,Mumbai,45-54,False,4792.69,1
CUST_000018,CAMP_1001,Meta Feed,2024-07-12,5987.18,somanyuvraj@example.com,Mumbai,45-54,False,5987.18,1
CUST_000019,CAMP_1001,Meta Feed,2024-07-14,6262.94,gagan01@example.org,Chennai,45-54,True,6262.94,1
CUST_000020,CAMP_1001,Meta Feed,2024-07-15,570.4,meghanadubey@example.org,Hyderabad,45-54,False,570.4,1
CUST_000021,CAMP_1001,Meta Feed,2024-07-16,815.69,sarthak96@example.com,Bangalore,45-54,False,815.69,1
CUST_000022,CAMP_1001,Meta Feed,2024-07-18,6659.32,borakeya@example.net,Chennai,45-54,True,6659.32,1
CUST_000023,CAMP_1001,Meta Feed,2024-07-22,2923.03,samarthgrover@example.com,Ahmedabad,45-54,False,2923.03,1
CUST_000024,CAMP_1001,Meta Feed,2024-07-22,2801.35,jasmit48@example.org,Bangalore,45-54,False,2801.35,1
CUST_000025,CAMP_1001,Meta Feed,2024-07-22,4453.11,dhritichakrabarti@example.org,Hyderabad,45-54,False,4453.11,1
CUST_000026,CAMP_1001,Meta Feed,2024-07-23,3812.49,ddora@example.com,Ahmedabad,45-54,False,3812.49,1
CUST_000027,CAMP_1001,Meta Feed,2024-07-23,3896.27,kalahemangini@example.org,Hyderabad,45-54,False,3896.27,1
CUST_000028,CAMP_1001,Meta Feed,2024-07-25,4179.35,savantati@example.com,Delhi,45-54,True,4179.35,1
CUST_000029,CAMP_1001,Meta Feed,2024-07-28,4683.42,kamala77@example.net,Kolkata,45-54,False,4683.42,1
CUST_000030,CAMP_1001,Meta Feed,2024-07-28,5461.18,jai01@example.com,Pune,45-54,True,5461.18,1
CUST_000031,CAMP_1001,Meta Feed,2024-07-29,4319.0,arinvarty@example.org,Mumbai,45-54,False,4319.0,1
CUST_000032,CAMP_1001,Meta Feed,2024-07-30,4098.5,vrao@example.net,Mumbai,45-54,True,4098.5,1
CUST_000033,CAMP_1001,Meta Feed,2024-07-30,7635.85,dayita05@example.net,Mumbai,45-54,False,7635.85,1
CUST_000034,CAMP_1001,Meta Feed,2024-07-31,7505.54,badamizansi@example.org,Mumbai,45-54,True,7505.54,1
CUST_000035,CAMP_1001,Meta Feed,2024-08-01,7165.53,kalaamaira@example.net,Mumbai,45-54,True,7165.53,1
CUST_000036,CAMP_1001,Meta Feed,2024-08-04,4788.18,mukherjeearjun@example.com,Chennai,45-54,True,4788.18,1
CUST_000037,CAMP_1001,Meta Feed,2024-08-05,987.59,muniaachal@example.net,Delhi,45-54,False,987.59,1
CUST_000038,CAMP_1001,Meta Feed,2024-08-05,2446.29,jonathananand@example.net,Mumbai,45-54,False,2446.29,1
CUST_000039,CAMP_1001,Meta Feed,2024-08-05,2501.73,pillayvictor@example.com,Bangalore,45-54,True,2501.73,1
CUST_000040,CAMP_1001,Meta Feed,2024-08-07,689.34,fariswagle@example.com,Bangalore,45-54,True,689.34,1
CUST_000041,CAMP_1001,Meta Feed,2024-08-07,6271.29,anikaprakash@example.net,Pune,45-54,False,6271.29,1
CUST_000042,CAMP_1001,Meta Feed,2024-08-09,6893.23,bnagi@example.net,Hyderabad,45-54,True,6893.23,1
CUST_000043,CAMP_1001,Meta Feed,2024-08-14,7718.06,kevin03@example.net,Chennai,45-54,False,7718.06,1
CUST_000044,CAMP_1001,Meta Feed,2024-08-15,5602.94,wranganathan@example.com,Chennai,45-54,False,5602.94,1
CUST_000045,CAMP_1001,Meta Feed,2024-08-16,2299.55,pallavi66@example.com,Kolkata,45-54,False,2299.55,1
CUST_000046,CAMP_1001,Meta Feed,2024-08-20,7718.23,xbahl@example.org,Mumbai,45-54,False,7718.23,1
